Session,Question,Date Asked,Asked By ,Answer,Answered On,Answered By,Status,AI-Generated Question?,Confidence,Reasoning
DAM_Training_Usage_Admin,"When an author uploads a new asset, how do we ensure the correct rendition is chosen automatically?",,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,Should static renditions be fully disabled once Dynamic Media is launched?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,What is the plan for transitioning from static renditions → Dynamic Media presets?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,"When Dynamic Media is implemented, will image presets replace all static renditions?",,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,Do we need dedicated language folders in DAM to support future localization automation?,,@Mayte Eme,,,,Pending,,,
DAM_Training_Usage_Admin,Can metadata alone be used to identify language-specific versions of assets?,,@Mayte Eme,,,,Pending,,,
Shared_Data,How do we decouple the footer? mote very page needs the pre footer.,,@Mayte Eme,,,,,,,
Shared_Data,How can we validate which components are allowed on which templates?,,@Mayte Eme,,,,,,,
Shared_Data,How do we enforce component‑level governance so property teams don’t misuse components?,,@Mayte Eme,,,,,,,
Shared_Data,Can we enable/disable components at the template level without making new templates?,,@Mayte Eme,,,,,,,
Shared_Data,Are there any components that should never be used inside containers?,,@Mayte Eme,,,,,,,
Shared_Data,How can we force authors into structured content (CFs) instead of free‑form page edits?,,@Mayte Eme,,,,,,,
Shared_Data,Which components support personalization (Target / ContextHub)?,,@Mayte Eme,,,,,,,
Shared_Data,"Which components support responsive behavior automatically, and which require specific authoring steps?",,@Mayte Eme,,,,,,,
Shared_Data,"Is there a component audit available showing which components rely on clientlibs, HTML templates, Sling models, etc.?",,@Mayte Eme,,,,,,,
Shared_Data,Which components support drag‑and‑drop DAM assets natively?,,@Mayte Eme,,,,,,,
Shared_Data,"Which components support variants / styles, and how do we expose more styles?",,@Mayte Eme,,,,,,,
Shared_Data,Which CF models support translation and which do not?,,@Mayte Eme,,,,,,,
Shared_Data,Do CF references break if CFs are moved into new folders?,,@Mayte Eme,,,,,,,
Shared_Data,"Can CF models be versioned, and how do we migrate existing CFs to a new version?",,@Mayte Eme,,,,,,,
Shared_Data,What is the recommended governance for creating new CF models? Who approves them?,,@Mayte Eme,,,,,,,
Shared_Data,How do validation rules in CF models affect existing fragments when rules change?,,@Mayte Eme,,,,,,,
Shared_Data,How do authors locate CFs when the number of fragments becomes very large?,,@Mayte Eme,,,,,,,
Shared_Data,"Can CFs support conditional fields or business rules (e.g., show this field only when…)?",,@Mayte Eme,,,,,,,
Shared_Data,How do XF variations handle caching across sites?,,@Mayte Eme,,,,,,,
Shared_Data,When should an XF NOT be used because of performance implications?,,@Mayte Eme,,,,,,,
Shared_Data,"Can XF inheritance be partial? (e.g., inherit CTA but not image?)",,@Mayte Eme,,,,,,,
Shared_Data,How do we prevent authors from editing a variation that should be locked?,,@Mayte Eme,,,,,,,
Shared_Data,What is the versioning strategy for XFs used on multiple sites with different publish cycles?,,@Mayte Eme,,,,,,,
Shared_Data,"How does AEM’s site search index XFs, CFs, and DAM assets?",,@Mayte Eme,,,,,,,
Shared_Data,Can we exclude certain XF variations or CF fields from search indexing?,,@Mayte Eme,,,,,,,
Shared_Data,How are navigation links cached and invalidated globally (important for corporate → property consistency)?,,@Mayte Eme,,,,,,,
Shared_Data,"Can we define navigation hierarchies outside the Experience Fragment (e.g., via CFs)?",,@Mayte Eme,,,,,,,
Shared_Data,How do we properly use “policy inheritance” to avoid accidental template override?,,@Mayte Eme,,,,,,,
Shared_Data,How do we create a template that allows flexible component-level permissions but retains design rules?,,@Mayte Eme,,,,,,,
Shared_Data,Can we restrict certain components on certain templates for governance?,,@Mayte Eme,,,,,,,
Shared_Data,Can we create a template with two optional headers or footers,,@Mayte Eme,,,,,,,
Shared_Data,"When authors choose an image from the DAM, can we warn them if the image is too large (e.g., 12MB)?",,@Mayte Eme,,,,,,,
Shared_Data,Can components auto‑select the correct rendition based on container width?,,@Mayte Eme,,,,,,,
Shared_Data,"Does the component detect WebP, AVIF, or DM renditions automatically?",,@Mayte Eme,,,,,,,
Shared_Data,"When Dynamic Media launches, do any current components need refactoring?",,@Mayte Eme,,,,,,,
Shared_Data,How do CFs work with AEM translation frameworks?,,@Mayte Eme,,,,,,,
Shared_Data,"Can XFs be translated automatically, or must they be duplicated per language?",,@Mayte Eme,,,,,,,
Shared_Data,How do we ensure shared CF models work across EN/ES/FR without breaking?,,@Mayte Eme,,,,,,,
Shared_Data,Do localized assets need folder-level locale structure if we rely on metadata only?,,@Mayte Eme,,,,,,,
Shared_Data,Which components automatically contain http://schema.org markup?,,@Mayte Eme,,,,,,,
Shared_Data,Should we add structured data fields to CF models for SEO?,,@Mayte Eme,,,,,,,
Shared_Data,How do we ensure canonical URLs work when XF content is shared across pages?,,@Mayte Eme,,,,,,,
Shared_Data,To what extent do CF‑ or XF‑driven pages get indexed differently?,,@Mayte Eme,,,,,,,
Shared_Data,How does AEM handle caching and invalidation when CFs are updated but used on 30+ pages?,,@Mayte Eme,,,,,,,
Shared_Data,What is the recommended publishing workflow when shared content exists across multiple sites?,,@Mayte Eme,,,,,,,
Shared_Data,Do we need a “Content Freeze” rule when updating shared XFs or CFs?,,@Mayte Eme,,,,,,,
Shared_Data,Is there an audit log showing which components are used on which pages (to avoid accidental side effects)?,,@Mayte Eme,,,,,,,
Shared_Data,How do we troubleshoot page performance if components load large images or too many CF references?,,@Mayte Eme,,,,,,,
Locations,"Which fields are sourced from DPLT, which are managed directly in the CMS? Is it just relation to location ID?",,@Mayte Eme,,,,Pending,,,
Locations,"If a location’s status is changed, how does that impact its visibility or behavior in AEM?",,@Mayte Eme,,,,Pending,,,
Locations,"When a location is added to DPLT, does it automatically appear in AEM even if some values are blank?",,@Mayte Eme,,,,xq,,,
Locations,Is the display or availability of locations in AEM driven by any specific DPLT status?,,@Mayte Eme,,,,Pending,,,
Locations,What are the steps to add locations to another page in AEM?,,@Mayte Eme,,,,Pending,,,
Locations,How can we add locations without using the accordions?,,@Mayte Eme,,,,Pending,,,
Locations,How do we add decorations with the map?,,@Mayte Eme,,,,Pending,,,
Locations,"How can we add only the map and locations, without including accordions?",,@Mayte Eme,,,,Pending,,,
Locations,Why are images not displayed for some locations?,,@Mayte Eme,,,,Pending,,,
Locations,How do we add a location not yet in the DPLT?,,@Mayte Eme,,,,Pending,,,
Locations,"How do we set up criteria in AEM to display specific locations? For example, based on one or multiple LOBs, different DPLT criteria (geo, amenities, sub-locations, categories)",,@Mayte Eme,,,,Pending,,,
Locations,"Which DPLT field should be used to replace the Location ID as the Content Fragment Title (e.g., Legal Name, Long Name, Short Name)?",,,,,,Pending,,,
Locations,What is the correct process for bulk updating Content Fragment titles using metadata values?,,,,,,Pending,,,
Locations,Which fields in the Location Content Fragment are read-only vs. author-editable?,,,,,,Pending,,,
Locations,"When a new location is added to DPLT, does the author need to manually check “Is Delivery”?",,,,,,Pending,,,
Locations,What image specifications (size/dimensions) are required for the Location image field used in hotel components?,,,,,,Pending,,,
Locations,What happens if authors mistakenly populate hotel-specific editable fields on a cafe location (or vice versa)?,,,,,,Pending,,,
Locations,"Is component display logic restricted by Line of Business (LOB) to prevent incorrect cross-display (e.g., café appearing in hotel components)?",,,,,,Pending,,,
Locations,"If authors incorrectly check “Is Delivery” for a hotel, will it surface in cafe delivery results?",,,,,,Pending,,,
Locations,Are any fields in the Location Content Fragment required for publishing?,,,,,,Pending,,,
Locations,Are delivery links automatically configured to open in a new tab?,,,,,,Pending,,,
Locations,Is there any scenario where delivery links would be internal instead of external?,,,,,,Pending,,,
Locations,"If delivery partners change, is updating the URL in the Content Fragment sufficient?",,,,,,Pending,,,
Locations,Does adding delivery partners require republishing the Location fragment only?,,,,,,Pending,,,
Locations,"If a new field (e.g., Meeting Room View) is needed, what is the process to update the Content Fragment Model?",,,,,,Pending,,,
Locations,Who has permission to modify Content Fragment Models?,,,,,,Pending,,,
Locations,"After adding a new field to the model, what additional front-end updates are required for display?",,,,,,Pending,,,
Locations,"If a new venue data field is added, does the Sort By dropdown also require component updates?",,,,,,Pending,,,
Locations,"Are venue fields (Meeting Rooms, Max Capacity, Area, Guest Rooms) hard-coded in the component?",,,,,,Pending,,,
Locations,Are venue fields required for publishing?,,,,,,Pending,,,
Locations,Can authors add additional buttons beyond “Additional Information” and “Fact Sheet”?,,,,,,Pending,,,
Locations,Is the “View More” link automatically tied to the uploaded fact sheet PDF?,,,,,,Pending,,,
Locations,"Are filter categories (e.g., Type of Destination, Type of Vacation) configurable without development?",,,,,,Pending,,,
Locations,"If a new filter category is needed, does that require Content Fragment Model changes?",,,,,,Pending,,,
Locations,"If a new sort option is needed, does that require both model and component updates?",,,,,,Pending,,,
Locations,"Are regions (North America, Europe, etc.) tied to folder structure or another data source?",,,,,,Pending,,,
Locations,Can specific countries be manually excluded from a region list?,,,,,,Pending,,,
Locations,Can authors manually control which countries display under each region?,,,,,,Pending,,,
Locations,Is the inability to manually control country listings considered a functional gap?,,,,,,Pending,,,
Locations,Why are some images not displaying on the Destinations page (missing image vs. unpublished)?,,,,,,Pending,,,
Locations,Is there image position/focal point control available in this component?,,,,,,Pending,,,
Locations,"Should styling inconsistencies (accordion width, padding issues) be treated as gaps?",,,,,,Pending,,,
Locations,Is there a formal review process before components are considered “handed off”?,,,,,,Pending,,,
Locations,Does the Google Map component allow manual country selection (unlike Destination Search)?,,,,,,Pending,,,
Locations,"Should locator behavior (hotels, cafes, corporate) allow granular country-level control?",,,,,,Pending,,,
Locations,Is the Google Map component functionally different from Destination Search & Filters?,,,,,,Pending,,,
Locations,Will map functionality be reviewed separately in KT?,,,,,,Pending,,,
Locations,Is the Booking Widget configured via Experience Fragment?,,,,,,Pending,,,
Locations,Is the “Book Now” modal referenced in the header via the Crown CTA component?,,,,,,Pending,,,
Locations,How does the theme override button styling in Experience Fragments?,,,,,,Pending,,,
Locations,What is the difference between “Default” and “Pop-up” style variations?,,,,,,Pending,,,
Locations,Where is the booking URL configured for each hotel?,,,,,,Pending,,,
Locations,"Is booking engine logic currently limited to specific engines (e.g., SynXis)?",,,,,,Pending,,,
Locations,"If additional booking engines are required, does that require component enhancement?",,,,,,Pending,,,
Locations,Should visual alignment issues in the booking widget be logged as a gap?,,,,,,Pending,,,
Locations,Where should A/B testing (Target) be applied — at Experience Fragment level or elsewhere?,,,,,,Pending,,,
Locations,Is analytics event firing handled in the component or at developer/data layer level?,,,,,,Pending,,,
